request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,Current balance: 100845250.00 IDR. Required minimum: 24768300.00 IDR. Safe amount today: 15656000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2025-08-03.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,Current balance: 93141.80 ZAR. Required minimum: 20500.00 ZAR. Safe amount today: 6670.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-05.
request_28,689.4,not_affordable,not_recommended,none,,none,Current balance is 1789.40 EUR; minimum balance to keep is 1100.00 EUR. Maximum safe amount today is 689.40 EUR.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,Current balance: 113540.10 ZAR. Required minimum: 28300.00 ZAR. Safe amount today: 51524.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2025-11-04.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Current balance: 3752.72 USD. Required minimum: 900.00 USD. Safe amount today: 775.20 USD. Recommended method: installments. Full payment is first forecast safe on 2026-04-06.
request_31,13840360.0,affordable_later,wait,2024-09-14:18164000.00,2024-09-14,none,Current balance: 30429260.00 IDR. Required minimum: 16588900.00 IDR. Safe amount today: 13840360.00 IDR. Recommended method: wait. Full payment is first forecast safe on 2024-09-14.
request_32,0.0,not_affordable,not_recommended,none,,none,Current balance is 69005.80 ZAR; minimum balance to keep is 35700.00 ZAR. Maximum safe amount today is 0.00 ZAR.
request_33,65180.0,affordable_later,wait,2026-03-15:118000.00,2026-03-15,none,Current balance: 167280.00 INR. Required minimum: 102100.00 INR. Safe amount today: 65180.00 INR. Recommended method: wait. Full payment is first forecast safe on 2026-03-15.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,Current balance: 559752.50 INR. Required minimum: 138500.00 INR. Safe amount today: 129400.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2024-12-04.
request_35,125130.0,not_affordable,not_recommended,none,,none,Current balance is 231530.00 INR; minimum balance to keep is 106400.00 INR. Maximum safe amount today is 125130.00 INR.
